game,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating,players_right_now
GunSoul Girl 2,2023-03-30,180,370,61,431,80.08,28
Research Story,2023-02-21,96,65,6,71,80.08,10
Hellscreen,2023-03-09,7,29,1,30,80.07,0
Conur Life,2023-03-06,7,29,1,30,80.07,0
A TAVERN FOR TEA,2023-03-24,8,29,1,30,80.07,2
Verlet Ascend,2023-02-28,20,58,5,63,80.04,0
Land of the Mage Lords,2023-01-29,18,51,4,55,80.01,0
Joon Shining,2023-02-17,3,20,0,20,80.0,0
Elohim Eternal: The Babel Code,2023-01-30,9,20,0,20,80.0,1
Heartwood Heroes,2023-03-27,43,20,0,20,80.0,4
The Overlord Isn't Another Isekai Protagonist Is He?,2023-02-17,8,20,0,20,80.0,4
奇谭文字游戏,2023-02-09,9,20,0,20,80.0,0
SokoChess White,2023-03-03,8,20,0,20,80.0,0
Shooting Saucer,2023-04-06,11,20,0,20,80.0,0
Hood Warfare,2023-01-26,25,64,6,70,79.95,1
Dark Chess,2023-02-28,27,101,12,113,79.92,2
Socrates Jones: Pro Philosopher,2023-03-28,15,36,2,38,79.89,1
Striving for Light: Survival,2023-02-20,55,50,4,54,79.84,10
BDSM Love,2023-01-06,10,43,3,46,79.83,0
Finding Xavier,2023-01-20,5,43,3,46,79.83,0
Snafu,2023-03-08,11,43,3,46,79.83,0
WHALIEN - Unexpected Guests,2023-01-24,9,28,1,29,79.83,0
Re:Call,2023-01-17,13,28,1,29,79.83,0
Fairy Biography3 : Obsession,2023-03-24,166,167,24,191,79.74,8
《奇门遁甲》,2023-01-01,137,172,25,197,79.72,4
The Legend of Heroes: Kuro no Kiseki Ⅱ -CRIMSON SiN-,2023-01-25,1071,313,52,365,79.71,162
Drakkar Crew,2023-03-27,9,19,0,19,79.71,1
Asfalia,2023-01-23,5,19,0,19,79.71,0
Mega Mall Story 2,2023-03-06,67,19,0,19,79.71,9
Linked Worlds,2023-03-29,10,19,0,19,79.71,0
FAKE HEART,2023-03-25,9,19,0,19,79.71,0
Memory Traces: Egypt,2023-02-17,6,19,0,19,79.71,0
Brick Odyssey,2023-01-25,14,19,0,19,79.71,5
Wind Up,2023-01-12,27,19,0,19,79.71,0
Logic - Keypad,2023-03-10,3,19,0,19,79.71,0
Ashes of War,2023-01-27,6,19,0,19,79.71,1
Endless Dark,2023-02-22,6,19,0,19,79.71,0
TRAUMA Broken Paradise,2023-03-03,4,19,0,19,79.71,0
降妖散记,2023-04-03,883,272,44,316,79.7,383
District Steel,2023-02-16,8,35,2,37,79.68,0
No Questions Asked,2023-01-09,4,35,2,37,79.68,0
幻斋阴阳录 Genzai:Serialization,2023-01-20,45,110,14,124,79.66,0
Mr. Hopp's Playhouse 3,2023-03-17,38,42,3,45,79.65,3
Tokyo Necro,2023-03-13,76,68,7,75,79.62,8
Spellmasons,2023-01-31,127,92,11,103,79.61,6
The Tales of Bayun,2023-02-16,41,86,10,96,79.6,0
Story of Animal Sprite,2023-04-07,26,27,1,28,79.58,23
Black Reliquary,2023-03-24,542,247,40,287,79.51,515
Within The Backrooms,2023-01-13,9,34,2,36,79.46,1
Potion Brew: Co-op,2023-01-05,14,34,2,36,79.46,0
Webcam Sex,2023-01-20,9,34,2,36,79.46,0
Drop - System Breach,2023-03-28,54,41,3,44,79.45,7
Chef Life: A Restaurant Simulator,2023-02-23,840,476,87,563,79.42,227
Painting Werther,2023-02-14,4,18,0,18,79.39,0
Palette Swap,2023-01-21,4,18,0,18,79.39,0
Bullet Casters,2023-03-28,8,18,0,18,79.39,0
За Закатом Неминуем Рассвет,2023-03-31,6,18,0,18,79.39,1
Kairobotica,2023-01-16,21,18,0,18,79.39,1
Zellige: The Tilemaker of Granada,2023-02-17,4,18,0,18,79.39,1
FFF,2023-02-14,6,18,0,18,79.39,0
Project Malice,2023-01-20,12,18,0,18,79.39,0
呆呆大冒险,2023-02-22,20,18,0,18,79.39,4
UnknownPyramid,2023-02-22,36,18,0,18,79.39,5
ZaBaTa!,2023-03-28,19,18,0,18,79.39,1
100 Keys To Your Heart,2023-01-16,3,18,0,18,79.39,0
Hope,2023-01-27,3,18,0,18,79.39,0
Hope,2023-01-27,3,18,0,18,79.39,0
Hope,2020-08-07,2,3,2,5,54.17,0
Hope,2020-08-07,2,3,2,5,54.17,0
Pretend Cars Racing,2023-03-08,4,18,0,18,79.39,0
Side Scape,2023-01-27,4,18,0,18,79.39,0
The Castle Burns!,2023-03-03,6,18,0,18,79.39,0
Yukiiro Sign,2023-03-24,11,18,0,18,79.39,2
Vernal Edge,2023-03-14,208,249,41,290,79.36,19
Locked In Mind,2023-01-04,82,244,40,284,79.36,5
SGS Taipings,2023-01-19,89,101,13,114,79.34,6
Belial Red,2023-03-11,218,47,4,51,79.32,4
Project Astra Dominium,2023-03-29,12,26,1,27,79.32,5
三國立志傳,2023-01-10,36,26,1,27,79.32,2
The Adventures of LinShanHai,2023-02-01,13,26,1,27,79.32,0
Chaos Galaxy 2,2023-01-06,107,171,26,197,79.31,11
GRANDMA,2023-01-07,30,170,26,196,79.25,0
Tropicalia,2023-02-28,14,53,5,58,79.25,0
AlexanderBall: A Countryball Tale,2023-01-20,23,40,3,43,79.25,4
Voltaire - The Vegan Vampire,2023-02-27,49,59,6,65,79.22,2
Territory: Farming and Fighting,2023-01-12,122,153,23,176,79.16,10
Redtape,2023-02-14,11,46,4,50,79.14,3
Barista Simulator,2023-01-12,78,136,20,156,79.06,12
Minigame Game,2023-02-03,8,17,0,17,79.05,0
We Are Screwed!,2023-03-01,17,17,0,17,79.05,0
Magirune 2,2023-01-11,12,17,0,17,79.05,0
Temple of Starlight,2023-01-24,6,17,0,17,79.05,0
Infested Fortress,2023-03-02,17,17,0,17,79.05,3
Burg Wimmel,2023-03-06,5,17,0,17,79.05,0
CucumbeRunner,2023-03-06,9,17,0,17,79.05,0
Ibis AM,2023-02-17,5,17,0,17,79.05,0
Frack the World,2023-03-01,8,17,0,17,79.05,0
Beep's Escape,2023-02-16,5,17,0,17,79.05,0
Spirit of Midnight: Prologue,2023-02-09,4,17,0,17,79.05,0
Sagres,2023-04-03,145,39,3,42,79.04,37
IDEA,2023-03-09,3,25,1,26,79.04,0
Hentai EroCum,2023-02-24,5,25,1,26,79.04,1
CosmoOdyssey 2: Comeback to origin,2023-02-17,3,25,1,26,79.04,1
Meet Your Maker,2023-04-04,3308,1186,249,1435,78.99,"1,684"
Attic Panic,2023-03-29,19,32,2,34,78.99,0
Doomsday Robot Girl,2023-01-10,129,135,20,155,78.98,3
Tanks in Labyrinth,2023-02-03,40,75,9,84,78.97,3
METAL DOGS,2023-03-24,924,578,113,691,78.95,8
Castle Warriors,2023-02-23,45,45,4,49,78.95,2
Elderand,2023-02-16,203,210,35,245,78.91,16
Combat Mission: Battle for Normandy,2023-03-28,104,51,5,56,78.91,43
Drain Mansion,2023-03-09,167,80,10,90,78.89,4
捉妖物语2,2023-01-18,499,836,172,1008,78.83,55
Furry Sex 2,2023-01-13,8,38,3,41,78.83,0
CUBEMATRIX,2023-01-27,24,96,13,109,78.82,1
Arrogation: Unlight of Day,2023-01-28,43,223,38,261,78.81,2
One Military Camp,2023-03-02,822,183,30,213,78.77,61
Forest Fire,2023-01-10,22,44,4,48,78.75,1
林中人,2023-01-29,9,44,4,48,78.75,0
1997,2023-03-30,13,24,1,25,78.75,5
Rabat Protocol:Metal Rhapsody,2023-03-25,13,24,1,25,78.75,0
Inkulinati,2023-01-31,240,132,20,152,78.74,6
The Survival of Sarah Rose,2023-01-19,24,31,2,33,78.74,6
Gladiators and Glory,2023-03-03,14,31,2,33,78.74,0
Colossal Cave,2023-01-19,35,50,5,55,78.73,4
Atrio: The Dark Wild,2023-01-10,455,330,61,391,78.7,11
Tebb,2023-02-01,3,16,0,16,78.69,0
ShemHaMephorash,2023-03-29,8,16,0,16,78.69,1
Human or Not,2023-01-20,9,16,0,16,78.69,0
HIGhSCORE,2023-03-09,8,16,0,16,78.69,0
GUN KING,2023-03-03,5,16,0,16,78.69,0
The Legend of Gwen,2023-02-16,4,16,0,16,78.69,0
Trouble in Tornado Town,2023-01-06,3,16,0,16,78.69,0
Kill Your Shapes,2023-03-31,5,16,0,16,78.69,0
GachaHell,2023-04-07,7,16,0,16,78.69,0
Returnal™,2023-02-15,6691,3424,793,4217,78.67,430
Daydream: Prologue,2023-03-03,722,306,56,362,78.67,9
My dream setup,2023-02-20,497,575,116,691,78.57,69
Saint Maker,2023-02-22,40,72,9,81,78.57,4
Escape First Alchemist,2023-03-02,161,155,25,180,78.56,4
Artificiality-人造物-,2023-02-25,28,30,2,32,78.48,0
Flame Keeper,2023-03-17,20,30,2,32,78.48,0
Elfheim - Chapter 1,2023-12-31,19,30,2,32,78.48,0
Hentai Fox,2023-02-03,7,30,2,32,78.48,0
Rogue AI Simulator,2023-01-12,264,212,37,249,78.47,21
ONE PIECE ODYSSEY,2023-01-12,7545,1589,356,1945,78.45,183
Alephant,2023-03-01,14,23,1,24,78.44,3
Madorica Real Estate 2 - The mystery of the new property -,2023-02-08,12,23,1,24,78.44,0
Guardians Frontline,2023-03-09,35,113,17,130,78.41,5
Death in the Water 2,2023-01-26,344,541,110,651,78.4,6
Ogre Chambers DX,2023-03-03,39,54,6,60,78.4,2
The Exсrawlers,2023-02-27,15,36,3,39,78.37,2
EXS2～EthnologySister2：Structuralism of kinship system,2023-01-20,11,36,3,39,78.37,0
UC Love,2023-03-01,14,36,3,39,78.37,0
丸转三国,2023-01-07,23,48,5,53,78.36,0
Life Gallery,2023-01-12,49,142,23,165,78.32,0
All-In-One Sports VR,2023-04-07,51,383,75,458,78.31,39
Return to abyss 重返深渊,2023-01-06,2066,585,121,706,78.3,68
One Giant Leap,2023-01-08,4,15,0,15,78.3,0
Checkmate Kings,2023-01-30,5,15,0,15,78.3,0
Operator8,2023-03-31,3,15,0,15,78.3,0
BETA-SIXDOUZE,2023-02-10,4,15,0,15,78.3,0
RUSHAWAY,2023-02-23,6,15,0,15,78.3,1
超级破碎球,2023-03-11,3,15,0,15,78.3,0
The secret pyramid VR,2023-01-18,4,15,0,15,78.3,0
Super Video Golf,2023-02-02,6,15,0,15,78.3,0
COSMIC HOLES,2023-03-13,3,15,0,15,78.3,0
Anime RPG: Isekai Journey,2023-03-10,6,15,0,15,78.3,0
可识此阵,2023-01-25,6,15,0,15,78.3,0
Finger Football: Goal in One,2023-02-24,2,15,0,15,78.3,0
Jigsaw Puzzle Delicious Foods,2023-03-09,4,15,0,15,78.3,1
Vampire Story,2023-03-24,7,15,0,15,78.3,0
9 Years of Shadows,2023-03-27,316,517,106,623,78.23,58
Apocalyptic Vibes,2023-03-02,37,75,10,85,78.23,1
Innchanted,2023-03-28,133,53,6,59,78.22,21
Schildmaid MX,2023-03-24,15,29,2,31,78.21,0
Dream Bright,2023-02-21,14,29,2,31,78.21,1
BACKROOMS: APPREHENSION,2023-01-31,242,85,12,97,78.16,10
Whackerball,2023-01-30,17,41,4,45,78.13,0
Interstellar Pilot 2,2023-01-02,25,35,3,38,78.13,6
Isle of Pan,2023-01-10,6,22,1,23,78.11,0
Relic Space,2023-03-09,23,22,1,23,78.11,0
COTTOn Rock'n'Roll,2023-01-06,22,22,1,23,78.11,1
The Safe Place,2023-03-22,9,22,1,23,78.11,1
Otome Legends,2023-02-08,5,22,1,23,78.11,1
Alice Escaped!,2023-01-27,145,134,22,156,78.06,1
Gachi: Christmas Party 🎄,2023-01-07,36,68,9,77,77.99,0
Rough Justice: '84,2023-03-13,34,46,5,51,77.96,2
Aashaa,2023-01-27,8,46,5,51,77.96,1
Burger Bistro Story,2023-01-16,133,57,7,64,77.94,25
Supplice,2023-04-06,112,118,19,137,77.93,39
时灵：星辰愚者,2023-02-14,55,78,11,89,77.93,2
Graveyard Architect,2023-02-23,6,28,2,30,77.92,0
MeiQi 2023,2023-02-20,17,28,2,30,77.92,1
Undead World,2023-03-10,25,28,2,30,77.92,3
The You Testament 2D,2023-02-01,10,28,2,30,77.92,0
yni^,2023-02-28,4,28,2,30,77.92,0
Beyond the Wall,2023-03-21,6,28,2,30,77.92,2
Beyond the Wall,2023-03-21,6,28,2,30,77.92,0
Beyond the Wall,2023-03-21,6,28,2,30,77.92,0
Beyond the Wall,2017-10-24,5,39,16,55,64.68,2
Beyond the Wall,2017-10-24,5,39,16,55,64.68,0
Beyond the Wall,2017-10-24,5,39,16,55,64.68,0
Beyond the Wall,2017-08-08,4,6,9,15,44.34,2
Beyond the Wall,2017-08-08,4,6,9,15,44.34,0
Beyond the Wall,2017-08-08,4,6,9,15,44.34,0
You are the weapon,2023-01-03,9,93,14,107,77.9,0
Sexy Milfs,2023-01-27,9,34,3,37,77.88,1
Helmetman,2023-03-13,19,34,3,37,77.88,2
Cyber Cult City,2023-03-28,3,14,0,14,77.87,0
天地情殇,2023-02-28,12,14,0,14,77.87,0
Strange Town,2023-03-24,10,14,0,14,77.87,0
The Pyraplex,2023-02-13,26,14,0,14,77.87,3
Unforgettable Voyage,2023-03-01,4,14,0,14,77.87,0
The Senex Bird,2023-02-22,4,14,0,14,77.87,0
Ruined Kingdom,2023-03-01,4,14,0,14,77.87,1
Flower Memories,2023-02-01,3,14,0,14,77.87,0
Sky Strikers VR,2023-03-05,15,14,0,14,77.87,0
The militant mouse,2023-01-13,4,14,0,14,77.87,0
Crawlspace 2,2023-01-18,4,14,0,14,77.87,0
The King of Cats,2023-02-16,5,14,0,14,77.87,0
炸弹魔塔 Bomb Tower,2023-03-09,3,14,0,14,77.87,0
Lawnmower Game: Find Trump,2023-02-03,3,14,0,14,77.87,0
TrashMorfers,2023-03-16,2,14,0,14,77.87,0
Words of Wisdom,2023-03-21,3,14,0,14,77.87,0
Rabbi-T,2023-03-07,3,14,0,14,77.87,0
Animalistic,2023-03-01,5,51,6,57,77.85,0
Alien Slayers,2023-02-01,47,51,6,57,77.85,1
DUCK: Dangerous Ultimate Cartridge Kidnapper,2023-02-14,18,67,9,76,77.84,1
Clunky Hero,2023-01-25,19,72,10,82,77.81,3
Kill Pill,2023-01-14,18,56,7,63,77.77,0
Refund Me If You Can : Lexy's Story,2023-02-24,4,21,1,22,77.77,0
The Legend of Heroes: Kuro no Kiseki,2023-03-02,139,21,1,22,77.77,43
The Legend of Heroes: Kuro no Kiseki,2023-03-02,139,21,1,22,77.77,199
The Legend of Heroes: Kuro no Kiseki,2022-07-27,2120,976,70,1046,87.97,43
The Legend of Heroes: Kuro no Kiseki,2022-07-27,2120,976,70,1046,87.97,199
Meme Quiz,2023-02-13,5,21,1,22,77.77,0
2022生存指南 2022 SURVIVAL GUIDE,2023-03-14,5,21,1,22,77.77,0
Gummy Dummy Battles,2023-01-24,8,21,1,22,77.77,0
ATONE: Heart of the Elder Tree,2023-01-27,12,45,5,50,77.75,0
Ten Dates,2023-02-14,198,186,34,220,77.74,3
GROSS,2023-01-11,99,106,17,123,77.7,1
Ghosts Of Tabor,2023-03-21,1000,1144,265,1409,77.68,543
Spelp,2023-01-31,223,39,4,43,77.67,0
Path of the Midnight Sun,2023-01-10,111,86,13,99,77.65,4
Spikair Volleyball,2023-02-06,18,33,3,36,77.62,0
Protect Harem City,2023-02-15,35,33,3,36,77.62,2
Presentiment of Death,2023-03-01,5,27,2,29,77.62,0
Taco Carlos,2023-01-09,11,27,2,29,77.62,0
Senpai Puzzle: Waifu Summer,2023-02-27,6,27,2,29,77.62,1
Arena Renovation,2023-03-27,306,80,12,92,77.51,31
Crimson Dawn,2023-04-11,132,191,36,227,77.48,17
Lunar Mirror,2023-01-19,588,623,139,762,77.45,8
Parasomnia,2023-02-18,5,49,6,55,77.45,0
Gachi: Space Orgasm,2023-01-09,84,94,15,109,77.44,2
Now There Be Goblins,2023-04-04,8,38,4,42,77.43,0
Mythlink,2023-01-20,2,13,0,13,77.41,0
Adventures of The Carrot Captain,2023-04-04,7,13,0,13,77.41,0
GRAPPIN,2023-03-24,6,13,0,13,77.41,0
Kitten Hero,2023-02-01,3,13,0,13,77.41,1
Stars Arisen,2023-03-15,52,13,0,13,77.41,3
Super Ninja Miner,2023-03-08,2,13,0,13,77.41,0
Frame - Portals on Steroids,2023-01-12,8,13,0,13,77.41,0
Carnival of Gods: Oppression,2023-02-21,3,13,0,13,77.41,0
Red List Girls.-Andean Flamingo-,2023-02-23,4,13,0,13,77.41,0
Forklift Extreme,2023-03-16,12,13,0,13,77.41,1
Starway: BaRaider,2023-02-16,4,13,0,13,77.41,0
Tower Skydiver,2023-02-15,3,13,0,13,77.41,0
Frogurai,2023-03-10,4,13,0,13,77.41,0
Web or Dead,2023-02-16,4,13,0,13,77.41,0
Wild Seas,2023-02-05,4,13,0,13,77.41,0
Unusual Ghost,2023-01-27,3,13,0,13,77.41,0
First Person Hooper,2023-02-28,3,13,0,13,77.41,1
The House of E.,2023-03-23,5,13,0,13,77.41,0
River Tails: Stronger Together,2023-03-16,9,20,1,21,77.4,2
Public Land Hunter,2023-02-28,8,20,1,21,77.4,0
Well...,2023-04-01,10,20,1,21,77.4,0
Hentai Journey,2023-03-24,7,20,1,21,77.4,0
Eternal Dread 3,2023-03-10,378,126,22,148,77.34,42
Blockworks,2023-01-07,9,32,3,35,77.34,0
Makis Adventure,2023-01-18,16,32,3,35,77.34,1
Out Zone,2023-02-14,13,32,3,35,77.34,2
Alkurai,2023-03-09,24,32,3,35,77.34,1
Card Crawl Adventure,2023-03-01,21,32,3,35,77.34,5
異境迷走,2023-03-23,37,32,3,35,77.34,5
中华一商,2023-02-23,1137,397,85,482,77.33,77
Nucleares,2023-03-13,33,43,5,48,77.32,7
Rogue Station,2023-01-26,49,43,5,48,77.32,7
Rogue Shift,2023-02-09,11,26,2,28,77.3,0
Kill The Emperor,2023-01-22,5,26,2,28,77.3,0
SHIRIME: The Curse of Butt-Eye,2023-03-31,9,26,2,28,77.3,2
Phantom Brigade,2023-02-28,5671,1627,399,2026,77.24,216
Hot And Lovely ：Charm,2023-02-16,666,405,88,493,77.18,4
Kingdom of EXPLORERS,2023-03-10,19,37,4,41,77.18,1
SpellForce: Conquest of Eo,2023-02-03,3669,1069,256,1325,77.16,338
Soul Wargame,2023-01-11,49,101,17,118,77.15,2
台北大空襲 Raid on Taihoku,2023-02-16,91,119,21,140,77.11,3
三國立志傳2,2023-03-24,130,42,5,47,77.09,33
Mato Anomalies,2023-03-10,49,72,11,83,77.07,6
The Wraith of the Galaxy,2023-02-15,4,31,3,34,77.06,0
Someday You'll Return: Director's Cut,2023-03-07,28,31,3,34,77.06,6
What is snowman made of?,2023-01-17,9,47,6,53,77.04,0
Golgotha,2023-02-21,103,400,88,488,77.01,2
Olgob The Bold,2023-01-20,4,19,1,20,77.0,0
RPG Stories,2023-04-03,11,19,1,20,77.0,5
Rayland 2,2023-03-31,7,19,1,20,77.0,0
Bad Hop Baseball,2023-02-21,6,19,1,20,77.0,0
Volley Pals,2023-04-07,7,25,2,27,76.97,2
Glass Heart,2023-02-03,11,25,2,27,76.97,1
Blue Wednesday: Prologue,2023-03-09,23,25,2,27,76.97,1
OPEN DOOR,2023-02-02,7,36,4,40,76.92,0
Creative Console,2023-01-10,19,36,4,40,76.92,0
Hot Heat Reset: Chapter 1,2023-03-02,42,36,4,40,76.92,2
Don't Byte Your Tongue,2023-04-07,3,12,0,12,76.9,0
Poly Vita,2023-03-01,5,12,0,12,76.9,0
Kit's Quest,2023-01-06,3,12,0,12,76.9,0
Richman 7,2023-03-16,14,12,0,12,76.9,5
Back Rank Chess,2023-02-04,3,12,0,12,76.9,0
Boundary Walls,2023-02-21,7,12,0,12,76.9,0
Feed Him,2023-02-28,3,12,0,12,76.9,0
The Lone Alien,2023-02-17,6,12,0,12,76.9,0
CRAZY GUY,2023-03-20,3,12,0,12,76.9,0
4 Seasons Runner,2023-04-04,4,12,0,12,76.9,2
Bullet Runner: The First Slaughter,2023-03-24,6,12,0,12,76.9,1
Hidden Harbor 3 Top-Down 3D,2023-03-22,2,12,0,12,76.9,0
AColony,2023-01-19,84,61,9,70,76.85,11
A Fox and His Robot,2023-03-01,5,41,5,46,76.85,0
Playcraft,2023-01-17,210,557,129,686,76.83,0
Armoured Cavalry: Operation Valkyrie,2023-01-12,15,30,3,33,76.76,0
The Karaoke | ヒトカラ,2023-02-04,446,296,64,360,76.75,5
Love n War: Hero by Chance II,2023-01-06,368,201,41,242,76.73,5
Lumencraft,2023-02-28,786,671,160,831,76.68,59
Tribe Dash,2023-04-06,25,55,8,63,76.64,5
城市弧光,2023-03-03,6,24,2,26,76.62,0
DEFCON: Xenos,2023-01-12,12,24,2,26,76.62,1
Lucky Goal,2023-01-01,55,24,2,26,76.62,0
Save The Girls,2023-02-14,6,24,2,26,76.62,0
EL NE RUE,2023-01-30,14,24,2,26,76.62,0
Elephantasy: Flipside,2023-02-28,13,24,2,26,76.62,1
Turnament,2023-02-17,3,18,1,19,76.58,0
Unprompted,2023-03-07,3,18,1,19,76.58,1
Dream Fight Will,2023-02-15,7,18,1,19,76.58,0
B-Horror: Subway,2023-03-26,5,18,1,19,76.58,0
风帆纪元 Sailing Era,2023-01-12,8335,2333,613,2946,76.56,408
RUSLICSTAN INVADES,2023-03-17,29,78,13,91,76.56,2
Star Survivor,2023-03-02,237,169,34,203,76.54,83
Dinogen Online,2023-03-04,96,100,18,118,76.5,19
Gal Guardians: Demon Purge,2023-02-23,1348,511,121,632,76.43,25
Gatekeeper: Eclipse,2023-02-27,1133,482,114,596,76.37,30
Pixel Survivors: Roguelike,2023-02-24,169,252,55,307,76.37,11
Roller Drama,2023-01-26,7,11,0,11,76.34,0
Orbital Strike VR,2023-01-31,5,11,0,11,76.34,0
BLOOD RITE,2023-03-23,3,11,0,11,76.34,0
SlipDream Resonator,2023-03-01,4,11,0,11,76.34,0
You Are A Pilot,2023-01-19,4,11,0,11,76.34,0
Gem Worlds,2023-01-16,2,11,0,11,76.34,0
Cosmic Ball Tournament,2023-03-02,2,11,0,11,76.34,0
Poly Skies,2023-01-23,6,11,0,11,76.34,0
Pawsecuted,2023-03-24,5,11,0,11,76.34,0
液化物,2023-03-03,3,11,0,11,76.34,0
Basketball Club Story,2023-04-10,131,11,0,11,76.34,98
EXIT The Game – Trail of the Griffin,2023-03-22,14,11,0,11,76.34,2
Amber Trail,2023-02-12,4,11,0,11,76.34,0
Sudden Market,2023-01-20,10,11,0,11,76.34,0
Animal Academy,2023-02-22,4,11,0,11,76.34,0
The Last Craftsman,2023-03-07,4,11,0,11,76.34,1
Midnight Dash,2023-01-09,4,11,0,11,76.34,0
Safehouse,2023-01-22,6,11,0,11,76.34,0
A Symmetric Escape,2023-02-17,3,11,0,11,76.34,0
The Magical Land of Canada,2023-03-08,3,11,0,11,76.34,0
Armored Us,2023-03-13,2,11,0,11,76.34,0
Hentai Oni,2023-03-17,4,11,0,11,76.34,0
My Furry Dragon,2023-03-25,20,23,2,25,76.25,1
Zero Wing,2023-02-14,10,23,2,25,76.25,1
Hentai EroElf,2023-01-06,7,23,2,25,76.25,0
Hole in Won,2023-01-03,12,23,2,25,76.25,0
Sexy New Year,2023-03-31,15,23,2,25,76.25,0
STRIPPERS,2023-04-07,14,23,2,25,76.25,0
The Moroccan Castle 3 : Behind The Secrets,2023-03-20,4,23,2,25,76.25,0
Anemoiapolis,2023-03-04,241,455,108,563,76.24,8
Drago Noka,2023-01-12,357,93,17,110,76.18,17
Gravity Field,2023-02-22,2386,228,50,278,76.14,15
PolyShot,2023-03-09,13,17,1,18,76.13,0
Slime Warfare,2023-02-17,17,17,1,18,76.13,1
Sister Wish,2023-03-02,7,17,1,18,76.13,0
Hentai Hanako,2023-01-28,5,17,1,18,76.13,0
Grappling Dash,2023-01-27,4,28,3,31,76.12,0
Silent Nights,2023-03-10,10,38,5,43,76.09,2
Tristia:legacy,2023-01-20,38,33,4,37,76.08,3
Посылка,2023-02-01,11,33,4,37,76.08,0
Made In Ohio,2023-03-07,5,33,4,37,76.08,1
Scrappage,2023-02-25,16,33,4,37,76.08,0
Fantasy World Souls,2023-02-16,18,33,4,37,76.08,2
The Last Haven,2023-02-18,429,1603,427,2030,76.04,47
The Last Starship,2023-02-15,329,189,41,230,75.92,65
Gripper,2023-03-29,33,42,6,48,75.88,2
Femdom Wife Game - Zoe,2023-01-27,26,22,2,24,75.86,4
Pocket Harvest,2023-01-16,24,22,2,24,75.86,12
回溯勇者 Backdate Hero,2023-01-13,9,22,2,24,75.86,0
Maiz,2023-01-20,5,22,2,24,75.86,0
Oxygen,2023-04-07,554,107,21,128,75.82,272
Nayla's Castle,2023-03-01,29,37,5,42,75.82,1
黄泉：孤岛惊魂,2023-01-20,93,299,70,369,75.8,0
RAIDBORN,2023-03-29,121,90,17,107,75.78,11
Chronicles of Forgotten Tears,2023-03-10,82,32,4,36,75.77,8
The Forgotten Tapes: Analog Nightmares,2023-01-23,9,32,4,36,75.77,0
Last Devil,2023-03-16,282,418,102,520,75.76,38
GunnRunner,2023-03-17,6,10,0,10,75.71,0
Alcyon Infinity,2023-01-16,4,10,0,10,75.71,0
Mortal Meal,2023-02-16,3,10,0,10,75.71,0
They came from another planet,2023-04-02,2,10,0,10,75.71,0
Collab Ball,2023-01-11,6,10,0,10,75.71,0
LiMiT's Escape Room Games 2,2023-01-10,9,10,0,10,75.71,0
Mini Star Bakery,2023-01-02,11,10,0,10,75.71,0
<|>,2023-02-24,2,10,0,10,75.71,0
Monster Racing League,2023-03-23,10,10,0,10,75.71,0
Martial Fire,2023-01-19,2,10,0,10,75.71,0
Car Parking 2,2023-01-19,4,10,0,10,75.71,0
Paper Flight - Beyond Time,2023-03-10,5,10,0,10,75.71,0
Old Bira´s Farm,2023-01-31,2,10,0,10,75.71,0
Flaming Thunderer,2023-01-20,4,10,0,10,75.71,0
Lone Traveler,2023-01-20,3,10,0,10,75.71,0
Tracadie Bird Shit,2023-01-20,2,10,0,10,75.71,0
Ara and the Empty Universe,2023-01-30,3,10,0,10,75.71,0
Alien Battlefield,2023-01-27,2,10,0,10,75.71,0
Tide Girl: Phenomena,2023-03-25,3,10,0,10,75.71,0
Best Pearl,2023-03-08,3,10,0,10,75.71,0
Crazy Clown,2023-03-08,3,10,0,10,75.71,0
Grounded Sim: Steam Edition,2023-02-17,2,10,0,10,75.71,0
Sally Can't Sleep,2023-02-20,9,10,0,10,75.71,0
Before The Green Moon,2023-03-14,7,10,0,10,75.71,0
SKIP,2023-03-14,4,10,0,10,75.71,0
SEX × HEX,2023-03-31,8,10,0,10,75.71,3
Archery Simulator,2023-03-13,3,16,1,17,75.64,0
Archery Simulator,2023-03-13,3,16,1,17,75.64,0
Archery Simulator,2022-09-21,2,22,3,25,73.75,0
Archery Simulator,2022-09-21,2,22,3,25,73.75,0
AI Stories,2023-03-16,4,16,1,17,75.64,0
Violet Wisteria,2023-02-09,5,16,1,17,75.64,0
Spy Bros. (Pipi & Bibi's DX),2023-02-14,7,16,1,17,75.64,0
Weekend Warriors MMA,2023-02-05,13,16,1,17,75.64,1
Extra Lives,2023-03-01,8,16,1,17,75.64,1
学園ハンサムFighters,2023-04-05,12,16,1,17,75.64,0
Second Front,2023-01-31,351,318,76,394,75.63,27
恶魔酱的五日恶戏,2023-01-20,14,41,6,47,75.62,0
异世界的城主大人,2023-02-26,171,215,49,264,75.58,87
Beaver Clicker,2023-02-07,61,36,5,41,75.53,11
Idle Simple RPG,2023-03-30,261,36,5,41,75.53,178
Undisputed,2023-01-31,7433,5254,1536,6790,75.46,722
Cursed Mansion,2023-03-30,5,31,4,35,75.46,0
Pixel Town: Akanemachi Mystery,2023-02-25,66,31,4,35,75.46,0
Uragun,2023-03-30,52,108,22,130,75.45,4
WWE 2K23,2023-03-17,6535,1152,313,1465,75.44,"2,412"
Hexrogue,2023-01-08,28,21,2,23,75.44,0
